18:40:26.816 [btpool0-12] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:236] Requesting a model update from backend server for: ModelUpdateRequest[NoHttpConfigs, Domains[2, 1000000], Services[10, 11], Versions[100]]
18:40:26.817 [btpool0-12] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:253] Loaded model update in 1ms
18:42:48.227 [btpool0-20] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:236] Requesting a model update from backend server for: ModelUpdateRequest[NoHttpConfigs]
18:42:48.232 [btpool0-20] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:253] Loaded model update in 2ms
18:42:49.182 [btpool0-20] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:236] Requesting a model update from backend server for: ModelUpdateRequest[NoHttpConfigs, Domains[2, 1000000]]
18:42:49.183 [btpool0-20] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:253] Loaded model update in 0ms
18:42:54.627 [btpool0-20] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:236] Requesting a model update from backend server for: ModelUpdateRequest[NoHttpConfigs, Domains[2, 1000000], Services[10, 11]]
18:42:54.628 [btpool0-20] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:253] Loaded model update in 0ms
18:42:54.695 [btpool0-20] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:236] Requesting a model update from backend server for: ModelUpdateRequest[NoHttpConfigs, Domains[2, 1000000], Services[10, 11]]
18:42:54.695 [btpool0-20] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:253] Loaded model update in 0ms
18:43:02.251 [btpool0-20] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:236] Requesting a model update from backend server for: ModelUpdateRequest[NoHttpConfigs, Domains[2, 1000000], Services[10, 11], Versions[100]]
18:43:02.251 [btpool0-20] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:253] Loaded model update in 0ms
18:43:02.303 [btpool0-20] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:236] Requesting a model update from backend server for: ModelUpdateRequest[NoHttpConfigs, Domains[2, 1000000], Services[10, 11], Versions[100]]
18:43:02.304 [btpool0-20] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:253] Loaded model update in 0ms
18:43:16.492 [btpool0-20] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:236] Requesting a model update from backend server for: ModelUpdateRequest[NoHttpConfigs, Domains[2, 1000000], Services[10, 11], Versions[100]]
18:43:16.493 [btpool0-20] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:253] Loaded model update in 0ms
18:45:19.229 [btpool0-21] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:236] Requesting a model update from backend server for: ModelUpdateRequest[NoHttpConfigs]
18:45:19.239 [btpool0-21] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:253] Loaded model update in 5ms
18:46:28.944 [btpool0-27] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:236] Requesting a model update from backend server for: ModelUpdateRequest[NoHttpConfigs]
18:46:28.950 [btpool0-27] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:253] Loaded model update in 2ms
18:46:29.937 [btpool0-27] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:236] Requesting a model update from backend server for: ModelUpdateRequest[NoHttpConfigs, Domains[2, 1000000]]
18:46:29.938 [btpool0-27] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:253] Loaded model update in 1ms
18:46:34.635 [btpool0-27] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:236] Requesting a model update from backend server for: ModelUpdateRequest[NoHttpConfigs, Domains[2, 1000000], Services[10, 11]]
18:46:34.635 [btpool0-27] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:253] Loaded model update in 0ms
18:46:34.687 [btpool0-27] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:236] Requesting a model update from backend server for: ModelUpdateRequest[NoHttpConfigs, Domains[2, 1000000], Services[10, 11]]
18:46:34.701 [btpool0-27] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:253] Loaded model update in 1ms
18:46:43.061 [btpool0-27] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:236] Requesting a model update from backend server for: ModelUpdateRequest[NoHttpConfigs, Domains[2, 1000000], Services[10, 11], Versions[100]]
18:46:43.061 [btpool0-27] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:253] Loaded model update in 0ms
18:46:43.108 [btpool0-27] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:236] Requesting a model update from backend server for: ModelUpdateRequest[NoHttpConfigs, Domains[2, 1000000], Services[10, 11], Versions[100]]
18:46:43.109 [btpool0-27] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:253] Loaded model update in 0ms
18:47:06.113 [btpool0-27] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:236] Requesting a model update from backend server for: ModelUpdateRequest[NoHttpConfigs, Domains[2, 1000000], Services[10, 11], Versions[100]]
18:47:06.114 [btpool0-27] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:253] Loaded model update in 0ms
18:47:53.340 [btpool0-32] INFO  n.s.a.s.rpc.ModelUpdateServiceImpl [ModelUpdateServiceImpl.java:236] Requesting a model update from backend server for: ModelUpdateRequest[NoHttpConfigs]
